Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:06:52.697
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:07:51.456
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:08:25.135
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:08:25.147
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:08:26.542
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:08:27.052
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:08:27.067
CoverXLinesAchievement,Line-by-line,9,ACHIEVEMENTS,2025-04-17 09:08:27.232
CoverXMethodsAchievement,Check your methods,5,ACHIEVEMENTS,2025-04-17 09:08:27.239
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:08:27.299
CoverXBranchesAchievement,Check your branches,1,ACHIEVEMENTS,2025-04-17 09:08:27.341
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:08:39.53
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:08:40.044
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:08:40.055
CoverXLinesAchievement,Line-by-line,9,ACHIEVEMENTS,2025-04-17 09:08:46.429
CoverXMethodsAchievement,Check your methods,5,ACHIEVEMENTS,2025-04-17 09:08:46.434
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:08:46.477
CoverXBranchesAchievement,Check your branches,1,ACHIEVEMENTS,2025-04-17 09:08:46.492
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:09:34.119
AddTestsAchievement,Safety First,2,ACHIEVEMENTS,2025-04-17 09:09:34.13
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:09:35.872
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:09:36.397
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:09:36.409
CoverXLinesAchievement,Line-by-line,10,ACHIEVEMENTS,2025-04-17 09:09:38.558
CoverXMethodsAchievement,Check your methods,6,ACHIEVEMENTS,2025-04-17 09:09:38.592
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:09:38.607
CoverXBranchesAchievement,Check your branches,1,ACHIEVEMENTS,2025-04-17 09:09:38.64
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:09:47.106
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:09:47.127
CoverXLinesAchievement,Line-by-line,9,ACHIEVEMENTS,2025-04-17 09:09:49.735
CoverXMethodsAchievement,Check your methods,5,ACHIEVEMENTS,2025-04-17 09:09:49.755
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:09:49.76
CoverXBranchesAchievement,Check your branches,1,ACHIEVEMENTS,2025-04-17 09:09:49.767
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:10:10.542
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:10:10.544
CoverXLinesAchievement,Line-by-line,9,ACHIEVEMENTS,2025-04-17 09:10:13.368
CoverXMethodsAchievement,Check your methods,5,ACHIEVEMENTS,2025-04-17 09:10:13.388
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:10:13.402
CoverXBranchesAchievement,Check your branches,1,ACHIEVEMENTS,2025-04-17 09:10:13.438
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:11:07.662
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:11:09.417
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:11:50.669
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:11:51.186
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:11:51.192
CoverXLinesAchievement,Line-by-line,10,ACHIEVEMENTS,2025-04-17 09:11:51.287
CoverXMethodsAchievement,Check your methods,4,ACHIEVEMENTS,2025-04-17 09:11:51.303
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:11:51.335
CoverXBranchesAchievement,Check your branches,3,ACHIEVEMENTS,2025-04-17 09:11:51.341
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:12:44.809
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:12:44.81
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:12:46.035
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:13:05.141
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:13:05.665
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:13:05.666
CoverXLinesAchievement,Line-by-line,10,ACHIEVEMENTS,2025-04-17 09:13:05.762
CoverXMethodsAchievement,Check your methods,5,ACHIEVEMENTS,2025-04-17 09:13:05.798
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:13:05.802
CoverXBranchesAchievement,Check your branches,2,ACHIEVEMENTS,2025-04-17 09:13:05.813
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:13:51.541
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:13:51.549
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:13:53.755
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:13:53.757
CoverXLinesAchievement,Line-by-line,9,ACHIEVEMENTS,2025-04-17 09:13:53.858
CoverXMethodsAchievement,Check your methods,4,ACHIEVEMENTS,2025-04-17 09:13:53.872
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:13:53.921
CoverXBranchesAchievement,Check your branches,2,ACHIEVEMENTS,2025-04-17 09:13:53.926
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:14:26.871
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:14:27.389
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:14:27.391
CoverXLinesAchievement,Line-by-line,10,ACHIEVEMENTS,2025-04-17 09:14:27.506
CoverXMethodsAchievement,Check your methods,4,ACHIEVEMENTS,2025-04-17 09:14:27.511
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:14:27.515
CoverXBranchesAchievement,Check your branches,3,ACHIEVEMENTS,2025-04-17 09:14:27.52
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:16:24.263
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:16:24.264
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:32.132
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:32.141
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:32.174
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:32.182
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:32.209
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:32.216
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:32.222
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:16:32.659
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:16:32.669
CoverXLinesAchievement,Line-by-line,14,ACHIEVEMENTS,2025-04-17 09:16:32.757
CoverXMethodsAchievement,Check your methods,7,ACHIEVEMENTS,2025-04-17 09:16:32.764
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:16:32.807
CoverXBranchesAchievement,Check your branches,4,ACHIEVEMENTS,2025-04-17 09:16:32.812
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:18:48.167
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:18:48.178
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:18:57.635
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:18:58.157
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:18:58.16
CoverXLinesAchievement,Line-by-line,6,ACHIEVEMENTS,2025-04-17 09:18:58.37
CoverXMethodsAchievement,Check your methods,4,ACHIEVEMENTS,2025-04-17 09:18:58.419
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:18:58.424
CoverXBranchesAchievement,Check your branches,1,ACHIEVEMENTS,2025-04-17 09:18:58.427
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:19:20.637
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:19:20.638
RefactorXTestNamesAchievement,The Eponym,1,ACHIEVEMENTS,2025-04-17 09:19:20.646
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:19:23.577
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:19:23.584
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:19:24.08
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:19:28.417
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:19:28.425
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:19:28.802
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:19:33.537
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:19:33.545
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:19:34.059
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:19:34.062
CoverXLinesAchievement,Line-by-line,6,ACHIEVEMENTS,2025-04-17 09:19:34.141
CoverXMethodsAchievement,Check your methods,4,ACHIEVEMENTS,2025-04-17 09:19:34.145
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:19:34.162
CoverXBranchesAchievement,Check your branches,1,ACHIEVEMENTS,2025-04-17 09:19:34.166
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:20:06.657
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:20:06.657
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:20:07.861
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:20:08.374
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:20:08.377
CoverXLinesAchievement,Line-by-line,7,ACHIEVEMENTS,2025-04-17 09:20:08.469
CoverXMethodsAchievement,Check your methods,4,ACHIEVEMENTS,2025-04-17 09:20:08.473
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:20:08.477
CoverXBranchesAchievement,Check your branches,2,ACHIEVEMENTS,2025-04-17 09:20:08.487
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:20:22.7
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:20:22.7
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:20:29.141
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:20:29.143
CoverXLinesAchievement,Line-by-line,6,ACHIEVEMENTS,2025-04-17 09:20:29.204
CoverXMethodsAchievement,Check your methods,3,ACHIEVEMENTS,2025-04-17 09:20:29.226
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:20:29.233
CoverXBranchesAchievement,Check your branches,2,ACHIEVEMENTS,2025-04-17 09:20:29.256
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:20:47.622
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:20:51.374
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:20:51.886
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:20:51.888
CoverXLinesAchievement,Line-by-line,6,ACHIEVEMENTS,2025-04-17 09:20:51.97
CoverXMethodsAchievement,Check your methods,3,ACHIEVEMENTS,2025-04-17 09:20:51.988
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:20:51.993
CoverXBranchesAchievement,Check your branches,2,ACHIEVEMENTS,2025-04-17 09:20:51.996
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:21:21.942
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:21:21.942
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:21:23.698
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:21:24.21
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:21:24.211
CoverXLinesAchievement,Line-by-line,7,ACHIEVEMENTS,2025-04-17 09:21:24.313
